group	filename	title	url	pages	bytes	sha256	status
01-memory-provenance	2026_CloneMem.pdf	CloneMem: Benchmarking Long-Term Memory for AI Clones	https://aclanthology.org/2026.acl-long.1549.pdf	32	5084888	920473a7bc7d187543031be5a2ddecf8fedf9b92c5b9938ab8ea602f8a809014	verified
01-memory-provenance	2026_LoCoMo_Plus.pdf	LoCoMo-Plus: Beyond-Factual Cognitive Memory Evaluation	https://aclanthology.org/2026.acl-long.1150.pdf	16	2284844	9fc3d8ee4600e54edb5fd0b0a3409303d02a3bf61de4415d33192267e8a61d2f	verified
01-memory-provenance	2026_Memory_Provenance_Laundering.pdf	Memory Provenance Laundering in LLM Agents	https://arxiv.org/pdf/2607.29167	21	550084	13d58d39f5a82f889302efedfa2444431f81e775e00586133dcc417e67f9994c	verified
02-digital-clone-persona	2024_AI_PERSONA.pdf	AI PERSONA: Towards Life-long Personalization of LLMs	https://arxiv.org/pdf/2412.13103	23	2312046	e621c1f0ea86b082ca1d1b29f0c0fdac60f8c2e2c5ba25fd977f9580d3ee8776	verified
02-digital-clone-persona	2024_Generative_Agent_Simulations_1000_People.pdf	Generative Agent Simulations of 1,000 People	https://arxiv.org/pdf/2411.10109	86	3563209	1ee1f32c2ba92eae7a91f28d204b9041a0f1cfb9ffc7201b3c52ac464f4e1fe2	verified
02-digital-clone-persona	2025_BehaviorChain_Digital_Twins.pdf	How Far are LLMs from Being Our Digital Twins?	https://aclanthology.org/2025.findings-acl.813.pdf	26	1867083	a66f6a0f4c47311e6c02b131c0bd1fdd8b0ba526b8b12a2716e7f66630281b50	verified
02-digital-clone-persona	2025_PersonaTwin.pdf	PersonaTwin: A Multi-Tier Prompt Conditioning Framework	https://aclanthology.org/2025.gem-1.66.pdf	15	510978	4282457d8b096698da49b90532b0883f5c8dd47a38257843f0eb87c45cdf56c5	verified
02-digital-clone-persona	2025_Talking_to_an_AI_Mirror.pdf	Talking to an AI Mirror: Designing Self-Clone Chatbots	https://arxiv.org/pdf/2509.06393	35	1368452	6c8fb915ae01e4fdbff7f8ccbe072608829980a4bcba22be3b40ca6d61d02c47	verified
02-digital-clone-persona	2025_PersonaMem_v2.pdf	PersonaMem-v2: Learning Implicit User Personas and Agentic Memory	https://arxiv.org/pdf/2512.06688	17	2378860	e5969bcf533ed9ba86608c4bc5223b5aeb3a28aa20dc549f555a6bf5c5881df6	verified
02-digital-clone-persona	2025_Talk_Less_Call_Right.pdf	Talk Less, Call Right: Enhancing Role-Play LLM Agents with Automatic Prompt Optimization and Role Prompting	https://arxiv.org/pdf/2509.00482	16	318521	799c45af28553aead477b4c89ba53891e4adfbb4ae129994b2f41b76c5fc591a	verified
02-digital-clone-persona	2026_TwinVoice.pdf	TwinVoice: A Multi-dimensional Benchmark Towards Digital Twins	https://aclanthology.org/2026.findings-acl.981.pdf	25	1641891	9a7ee1177ec7577b8701677a6783571821cfc962c0047ade39f4084f325729c1	verified
02-digital-clone-persona	2026_Persona_Conflict.pdf	I Know, but I Don't Know! How Persona Conflict Undermines LLMs	https://aclanthology.org/2026.findings-eacl.24.pdf	25	1373460	64603d197d03437c15c8b134cddc28bbb638b587f961f36b5487db578b988786	verified
02-digital-clone-persona	2026_PersonaVLM.pdf	PersonaVLM: Long-Term Personalized Multimodal LLMs	https://openaccess.thecvf.com/content/CVPR2026/papers/Nie_PersonaVLM_Long-Term_Personalized_Multimodal_LLMs_CVPR_2026_paper.pdf	10	4848932	9cb7a8ac1603c921193da5ee371a438347223a7fceebccbd68176fea6e9d9ebe	verified
03-active-inquiry	2023_Active_Preference_Inference.pdf	Active Preference Inference using Language Models and Probabilistic Reasoning	https://arxiv.org/pdf/2312.12009	12	465151	bdb3a864478461049081b2762f116721bc20e20770d42d9acdf3cbd75b52588a	verified
03-active-inquiry	2024_STaR_GATE.pdf	STaR-GATE: Teaching Language Models to Ask Clarifying Questions	https://arxiv.org/pdf/2403.19154	25	985510	82535c714db52ba5d1931dc348449efe773c4d0f9c5c023e2fefef4cda7f6172	verified
03-active-inquiry	2025_CPER_From_Guessing_to_Asking.pdf	From Guessing to Asking: Resolving Persona Knowledge Gaps	https://aclanthology.org/2025.naacl-srw.42.pdf	13	931863	f24b44659109fcc8fa9f4fe930e27084074a2b3735cedb0a38e5664699f856d7	verified
03-active-inquiry	2025_Training_Proactive_Personalized_Agents.pdf	Training Proactive and Personalized LLM Agents	https://arxiv.org/pdf/2511.02208	15	1449240	7d202ee518cfad242416f8ffaf863a55a9c86b6330bddc4637fce1dfb32fbf10	verified
03-active-inquiry	2026_VitaBench_2.pdf	VitaBench 2.0: Personalized and Proactive Agents	https://arxiv.org/pdf/2605.27141	45	5572040	33078d7ce484da8d4e90a5d4fc56328b1e1aad8518959dcf26f9bd0d9f44ee2d	verified
03-active-inquiry	2026_DECISIVE.pdf	DECISIVE: Guiding User Decisions with Optimal Preference Elicitation	https://aclanthology.org/2026.acl-long.1465.pdf	13	1284255	ad220c4087ee3dcbe337c68c4d303b15d1ce77d713d339c3d0e64658424f4f2c	verified
04-style-evaluation	2025_Catch_Me_Style_Imitation.pdf	Catch Me If You Can? LLM Style Imitation	https://aclanthology.org/2025.findings-emnlp.532.pdf	16	1197499	56a41f93ec5ccd9ff2ba2b2c7409a705f150d0f96aed11aca36e88f4ddde9b42	verified
04-style-evaluation	2025_ExPerT_Personalized_Generation_Evaluation.pdf	ExPerT: Evaluation of Personalized Long-Form Text Generation	https://aclanthology.org/2025.findings-acl.900.pdf	17	1414314	e3885deb2f5197f05c1b8818975781b8bf061ee1ad805e40aeb2a96e2b643b1e	verified
04-style-evaluation	2025_PPlug.pdf	LLMs + Persona-Plug = Personalized LLMs	https://aclanthology.org/2025.acl-long.461.pdf	13	390921	4d89d10361670926c2fe463ebbb8e60f73ff8b4ac636b82047ff00b00eed554e	verified
04-style-evaluation	2025_Whose_Story_Author_Styles.pdf	Whose story is it? Inferring Author Styles	https://aclanthology.org/2025.ijcnlp-long.82.pdf	56	1657408	e9faf2493877c4926b5980938dc9a6b025086f4b09fa199a56536cc7b39343ed	verified
05-chinese	2026_人格化对齐与道德判断.pdf	大语言模型的人格化对齐及其对道德判断的影响	https://journal.psych.ac.cn/xlxb/CN/article/downloadArticleFile.do?attachType=PDF&id=16379	20	891813	6bc7a93b9a3645c964598d9349f0e28afb6440d29a3d002b805aaa8fe1e63ae4	verified
05-chinese	2025_AI人格与道德判断.pdf	当AI具有人格：善恶人格角色对大语言模型道德判断的影响	https://journal.psych.ac.cn/xlxb/CN/article/downloadArticleFile.do?attachType=PDF&id=16061	21	1232818	19b12e7e9d1c18c48aeebf6fbab5ff0367588d3c7fb370ffac8f9044cfebb319	verified
